"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","733139.080043829","636429.629141281","374865.641793174","353467.300871274","381790.354840498","414389.685450324","441871.452284975","460381.357166831","498694.711761892","520698.383390049","557946.94935148","618417.106774593","706382.567067639","810742.371004591","901234.592407392","1032737.84013499","1177078.32704331","1348179.61411839","1451334.97139693","1254740.15955222","1290180.06803804","1358804.98262874","1463913.58695261","1519017.19230643","1579939.59355417","1636918.04651227","1647494.7623642","1779696.28345506","1882382.66162111","2036900.85655474","1900346.01858136","2021108.15081043","2284365.94614074","2485339.53016674",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12461.9695068498","12633.541015861","12754.6593551522","12785.1329164775","12351.1093125957","12681.1272901406","12452.8099336208","12047.1047213091","12197.1230104469","12318.1734487203","11920.0610903131","11774.6957260119","12160.7905471398","12751.1291076156","12765.6200444022","12110.0620665952","12700.3138939369","12932.9473172587","13834.4627508714","14077.9393804818","14568.6987554491","",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","16512.7813216464","17179.8100390182","18487.5172189633","19910.0001541093","20610.2096010818","20543.9131701185","21587.2676125245","23798.3843823628","25741.1450006149","28848.8997403882","30932.0466800305","32733.4250257885","34639.9836570495","35856.6510864073","36461.0114089952","36298.7364481356","37533.3414345171","39300.0059637405","36858.0952659434","38504.3984068311","39801.3142744812","40906.6857741278","41705.6122241639","43564.5859702885","40950.3378600013","40845.7801671093","42839.5773294909","44812.9615789007","47159.7240481288","52478.6451573027","56583.1057354662","55735.9070761913","48323.5147987792","43931.3845615263","42557.3914146364","43518.6030065926","42854.8990361255","43439.8673181227","43722.2178984001","45201.6253699042","46032.9898264906","48961.3210224172","50210.2760619647","40489.9421566088","43545.9509327498","47413.2653605367","48964.9833506543",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","29279.6840785028","29415.4345130211","29077.7322658723","30298.6301369863","31783.7377988717","33030.8219178082","33053.2143163677","34696.4997033647","35826.2136730785","37555.8998613716","39465.5792756057","39680.2195253923","40480.8378234803","40910.9118086697","41526.7069882679","41566.7602389693","42217.4160906435","43245.2085682074","43127.1068393927","44391.6218823205","45185.0667029676","45970.5855154973","46682.7890773905","45023.9556092349","46529.3540678195","48337.2129965509","49532.4424800307","50034.8195024138","52055.0727660335","53166.401973164","54260.2434625747","53368.4377884888","52999.9625256778","54655.5426064179","56285.9678835737","57824.0390578511","59333.7078054276","60992.00690961","63203.1004132509","65658.4980946472","67456.8477826402","67944.9190936866","69849.773354583","71185.1184872046","73403.1709266803","74802.2832510377","75833.0437789589","77271.3754839607","78454.4866844157","78308.739310923","78816.571538802","79601.4364174363","81288.928018672","81984.1933603881","82876.4279774402","83490.9060066565","84481.3301130049","85028.3426860158","86200.3268964332","86788.6363221914","85437.8264813066","87119.2955752471","89689.5984412325","90230.6822775299",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10780.3682255221","11315.1518045292","11543.8841660075","11944.626198302","12591.9456276224","12945.7809097163","13580.7040163084","13885.0489185848","14430.9037696323","15283.6974400465","16315.260598311","17073.4214147837","18028.2322806617","18805.412388291","19513.5063148783","19494.1820735798","20422.7620687262","21451.997309878","21424.146077155","22610.2827698798","23001.752184568","22910.0624809248","23354.0873287264","24087.3188123106","24101.1866267695","24691.8020326544","25244.0100747788","25570.4265553259","26375.8301729512","27277.9104114446","28247.2439550134","28929.1285976811","29211.5035770362","29124.2329361861","29709.2694438263","30455.2432614964","31128.7411498179","31744.4601502427","32845.3040440207","33947.278663878","35008.9582985399","35317.1278390379","35724.2200125539","35885.3171420821","36638.8051541086","37206.6616843884","38301.8092090345","39600.903479205","40053.663427826","38444.9721052391","39057.2379380453","40063.5274880021","40152.6490360429","39926.8711151164","39878.0123364859","39833.5323259551","40189.0343091897","40812.2553442623","41598.9985205623","42015.1577942144","39065.7668435899","40544.2966159237","42088.6110598372","41325.9956355313",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1599.37544472628","1567.18988351464","1194.80672712864","904.984082297059","716.968584423192","625.100320760978","626.851938683499","656.842305361528","715.701200556047","761.946835363753","839.597060358323","915.595892099813","994.569252136883","1087.82464385907","1178.13082525733","1492.22161978586","1985.10969939478","2453.41068369594","2660.90666864459","2848.51662126534","2956.94515067484","2921.5847301921","2945.4448489767","3076.51773675583","3121.92519852221","3118.70582664661","2988.43213007178","2965.16969244978","2983.68676702914","3032.49542136829","2882.30496790834","3030.78691031047","3172.42891664915","3217.34986855449",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","161299.786064949","135701.255811492","144338.974758589","147211.458641791","152057.459182829","153784.818170098","157088.190248696","174370.966470229","169811.529872506","163813.252016614","194576.642090505","195219.976848582","182864.926959833","195886.462142827","189756.194768242","186534.441458944","197058.37524136","214260.495179033","206361.273077009","204826.438386856","198443.819254346","213763.130822672","206385.325040616","208426.88078678","203760.554901133","222901.812723625","225870.077251629","232937.566649456","239362.880284682","237994.800134805","241378.838843844","248410.369559171","244441.860550558","236939.332519684","226592.425633788","196464.861482377","180817.039605551","178141.652405137","183156.653494252","177057.627625733","171992.77754235","171237.406114608","173923.324130861","166488.818244864","168171.823816768","163522.073864029","166312.927728354","165851.075867925","166907.803702512","164691.777794159","165215.862963282","165895.74599875","167262.861264875","169376.393666455","170749.363458277","160537.705268912","156996.028643367","154213.04405781","152089.315126012","149873.080222231","146113.572202873","146670.50839628","145461.021301244","145450.425102913",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10499.535155778","10985.6906313765","11512.3484322486","11923.8404660659","12633.2063520156","12964.7578616494","13283.8805085931","13721.1294969796","14240.4803357244","15141.6583240016","16087.6857442285","16698.4528947205","17514.0200687563","18573.1784530863","19360.0826980505","18924.7074188578","19958.7799304294","20058.9687578011","20609.7859918976","21073.326359599","21985.5924015254","21924.7685004395","22061.2127082538","22131.7671721025","22677.9618263014","23045.689280554","23457.3935265316","23978.02524236","25030.8511781454","25805.3054948244","26535.6647921184","26921.8573547906","27223.2652786546","26856.2957417218","27637.6309944153","28237.5196696476","28554.8159297216","29566.4528257595","30082.1875274429","31076.6163600377","32153.5617607609","32395.5118178363","32801.0986389439","33003.1139731921","34034.1077945717","34633.263149135","35283.7392792046","36313.438173485","36188.7186830443","35173.2919198855","35851.7017808863","35987.9506415139","36029.8415440015","36025.1042013254","36431.6819871645","36960.6311616367","37239.7833211048","37697.4104447604","38199.0318764574","38844.5014265844","36625.8084600182","39002.3730827938","39835.6759743053","39912.2967281625",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","388555.526345748","394645.460360863","374938.142287323","386007.41478089","404392.868385277","417984.114000694","424733.721359716","420996.151440058","428510.969840943","431916.650839568","431893.948786202","416483.871258112","433695.747254474","439878.536583854","444392.38336934","412952.591985741","406777.243291028","416678.828909102","411412.984890816","427091.032859875","443976.340781635","474840.59309884","471945.521330609","438749.627522398","460135.008700068","480624.556810283","476836.139396781","455919.496108482","457507.383728535","431235.005723259","455869.070808364","460804.177972381","460113.618582507","465767.878866794","457753.296724817","475541.326130061","483522.33062964","496589.268808362","500800.346056603","511665.678979829","525427.681503762","537025.787845632","545344.098448515","547372.913752962","554579.144052976","546438.954727938","550872.815907303","567300.136994998","577793.062548132","574046.439176871","569228.146957719","569185.863599818","579431.576226988","603348.230092359","623201.433765772","615837.156925185","617905.459861093","633992.977791506","656970.547823772","682096.431609794","688589.565790035","717776.873407071","742329.719451947","768764.396067682",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","144214.568372735","147895.317939027","154675.362697957","150447.969004161","151534.828743895","154745.205034811","153058.72398836","163819.625133169","166000.568023313","166488.977730487","163834.712097976","163352.057096324","164321.304182759","162196.986621961","172415.364827777","174104.674735161","185006.444771056","181443.203836817","185152.02616263","187041.710421383","183555.019387803","186241.346878672","198529.667540175","193678.327564431","184827.06640645","194845.635613161","204486.783529916","198509.339530214","204469.716299696","203430.24985065","196974.94431553","209479.245277982","204859.150893025","206747.899086135","204252.82403895","210464.235130509","227752.00939441","236002.841534086","246382.567904493","256975.126123309","254130.794811834","262823.015431154","265958.906519486","277946.10877588","281422.669055584","296319.589414251","305169.743281791","308225.415939501","316643.315994332","316603.817048947","333400.10721081","345078.13475089","356374.583223577","365844.508382886","370468.769744943","373720.691276144","384534.293225524","396851.914260528","411509.692604563","424120.216212266","421170.31596358","438615.593341281","435130.705285329","436879.747346111",
"Bangladesh","BGD","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","43854.6585077413","45178.9822130103","46235.5692072783","44661.0566987657","48086.0802526268","47417.1927886822","47209.8602846715","44952.3709434706","47763.6393674998","46973.2507041691","48382.7369417844","45173.5841963839","38317.291739016","38590.9647948877","41247.2831598801","38632.8687555211","39922.3096292565","40067.3983525962","41899.0960860318","42892.0258993549","42201.7704889517","44085.8578981563","43806.2378011505","44261.7546923208","45153.4968556616","45483.3839730994","46266.5401953146","46951.9476915872","47056.8926825805","47374.5176398532","48985.4263339491","49720.438312686","51470.4627742181","52875.4551542123","53888.9228628862","55601.0739079319","57105.777868671","58612.5064804983","60501.0892753273","62125.372367682","64179.1756334288","66169.0103432748","67440.5732142518","69413.9751230458","71847.4508635275","75390.2258201343","79452.5005186364","84171.328740271","88444.4800452159","92092.5369653938","96120.1899461126","101093.949241602","106355.880321084","111331.976204995","116617.772643712","122788.089906862","129913.741106713","136755.589967497","145070.654999679","154772.491121746","158287.531170457","167336.273876304","177300.889348832","185623.170243005",
"Bulgaria","BGR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","6049.08574259426","6324.38835930289","6452.91853484687","6657.63872285743","6867.6743996744","7052.06825665888","7350.74036173232","7784.33205114186","8626.60385087212","8440.98601764205","7811.01770312959","7222.53025155209","6769.5863217615","6722.79402330863","6868.29941194451","7096.40846307792","7504.40724224084","6484.48905855919","6775.25516587205","6241.29225744596","6559.91379373653","6947.68078777976","7517.05815409432","7973.64895392824","8557.1131263234","9230.17305716746","9933.22147995362","10672.4010243146","11406.3555838918","11095.8271827724","11342.829025749","11654.406417351","11809.883890911","11811.7048388085","11991.8177592333","12478.6149773662","12946.7850066963","13399.8157419777","13860.6528335723","14521.8173329046","14029.8199527979","15228.3327539281","16836.4015265355","17239.8703340554",
"Bahrain","BHR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","6232.23040304707","6101.10018687946","6437.95796502618","6948.87528521065","7147.80572465209","6185.16420091598","7668.66030680444","8246.61627399674","8161.98902066725","8060.64538923905","7906.09385126656","7191.52107675595","6417.10641736804","6594.31383593727","6685.67973149944","6145.3541294964","5999.53553563337","6391.05097896327","6601.12778454784","6399.89927030932","6463.43188679172","6947.62081749671","7157.6803073205","7807.32786642382","7531.8406618413","7576.50611648236","7640.80103547023","7637.10313295324","7766.80203543876","7870.80113215235","8063.01848920924","8050.94644762049","8119.65138095264","8298.95304372854","8290.3374043585","8179.54122367702","8089.12841754885","8174.50112058063","8138.94445229987","7856.65049815465","7966.24218778967","8134.76371550652","8349.4361760055","8545.44719590575","8580.81630100356","8495.96444423562","8494.73029331166","8532.97630340862","8549.31333790525","8694.54258767973","8384.53009843185","8685.22106385378","9054.56541186076","9196.32260726795",
"Bahamas, The","BHS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","19745.1107038833","20812.3588621948","21879.4554930675","23027.279107886","24318.6673239607","25729.8085074649","26863.3459762472","28162.4144132454","29194.5694390134","30474.2158005046","27727.8145560867","27368.1353082919","25748.4051618628","27069.9129779571","22055.533032401","18407.7028497785","18966.1881447304","20266.1255062572","22657.4173722517","28005.5108407598","29247.9227391513","26059.7629140783","27299.9735134036","27754.9069660471","31086.3052825746","31955.6045153275","31898.326474223","32231.6746922258","32364.0937615801","33885.4858125058","32705.7325535621","30727.4261205978","28932.0069652059","28397.5645812801","28710.6211968149","29411.8582960001","30113.3409634248","29986.0399586035","30880.0309450282","32582.617275316","33439.1749278493","33837.1366336393","34297.1000173652","33414.281071819","33257.2597780751","33920.5414543823","34294.9663135449","34304.3509866747","33033.531333122","31201.6888688437","31239.1500032148","31041.6721788596","31628.2478452394","30436.7172306496","30721.6592869753","30746.122328411","30198.2190839849","30806.801664077","31389.9518792952","30761.0052477154","24057.1160058159","27665.0012502881","30492.5070246644","31097.0546964178",
"Bosnia and Herzegovina","BIH","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1381.12055087433","1249.76730115987","1231.30651374151","1306.09100069212","1521.17868448541","1769.63669372331","2618.97848660265","3454.8308343306","3962.99681243938","4300.66936928216","4504.95340184478","4596.98345527413","4824.09459771675","5028.19810041549","5399.02144895073","5675.96512905634","6036.65176144616","6470.28176520431","6934.07756570993","6839.59873638063","7019.47816476555","7215.4719217171","7290.10438240636","7578.59540093195","7765.84371958193","8208.36506518697","8580.00807817095","8963.82499323406","9416.12509407731","9801.63215462442","9627.29014252923","10488.766695109","11058.6087756833","11323.3947304247",
"Belarus","BLR","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6075.18886939758","5999.5183170575","5411.66249203492","4989.34879700753","4410.80511256772","3964.92331489506","4089.68700345458","4574.88551690928","4981.56376269452","5174.16988456266","5500.12377237187","5789.64435790164","6120.58520216008","6597.67979153084","7403.42923939682","8154.86007482475","9025.43923304339","9846.70546963258","10888.6154102887","10937.2554798038","11815.9642258681","12480.7163407032","12711.1752972106","12843.6566756795","13058.0308122493","12541.2796599457","12213.7893097319","12536.7520778383","12959.2950787628","13173.2683578495","13140.1525295652","13572.5714949124","13044.8172754631","13625.2603696241",
"Belize","BLZ","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","3116.07230182905","3186.45498661251","3257.88434042156","3326.87307550397","3393.33016265528","3456.50835736642","3513.36915770142","3575.18507811191","3724.44767904069","3804.62662067987","3896.51444495874","3978.85569038948","4316.58824300447","4482.33698660317","5021.08277833632","5114.751006277","5010.72848267969","5229.9869699862","5532.52360155454","5827.19090013984","6459.41600569645","6373.20342717266","6214.08203309464","5938.9076546799","5916.9498462354","5841.00211700176","5969.01173476601","6463.32684074915","6940.19223249415","7672.84886670377","8220.68501545964","8998.11111535696","9939.59423285519","10338.9826818606","10116.0762504603","9932.77113232211","9741.81793383221","9814.00849841869","9842.91340336584","10408.2579323238","11309.4307408889","11505.9361247533","11753.5105036141","12498.3824244842","12704.6401832013","12604.5906208787","12792.0904250138","12838.3848148296","12289.4241426516","11903.0407640986","11753.7685664107","11454.4311929428","11608.8983012679","11855.7173234151","12062.9564668481","12191.2900208836","11942.9685830533","11495.4343386614","11392.6026553399","11660.6942096603","9911.08300464842","11532.2261407918","12377.3253497509","12764.5591188462",
"Bermuda","BMU","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","35770.7469572072","36539.5585802198","37271.8003562232","36801.8943752621","39887.1349059305","40784.9059401198","45819.9879647059","50904.4824711538","50995.4736018868","51771.0824962963","54038.3150436364","56305.3757655678","57749.0872546126","59041.6302267658","60005.6781348315","62736.6994811321","68087.515137218","71832.884258427","72604.5341753731","73888.3559553903","78488.7498426925","79802.836390554","75041.0333531714","75890.2338101198","75589.2812292859","73456.4647122922","77692.6735056289","79955.4361925011","82488.4964659708","82159.0102938427","81503.0021963389","79028.6677623219","79555.6719856643","81510.9641826515","81432.9602157788","84409.1420346132","86052.5436977166","89463.42959155","92272.2478381438","94861.1503630578","102780.466741061","109020.64827851","106712.973677518","109632.930122385","111447.433322874","112582.057237273","118143.917672768","121409.197386266","118441.009299404","111158.510573466","109228.395061728","106052.196270367","100063.150097225","99471.6388978631","95588.6579262489","96183.791406717","96562.6297363448","101116.622046874","100608.10726243","100927.289511978","94047.4543377209","99344.5517847061","106014.513719632","",
"Bolivia","BOL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","1644.56717620832","1644.66796879789","1700.74458552226","1778.79661355354","1810.74568114631","1860.00010579488","1951.38487211782","2030.60568858435","2156.61847666879","2204.46603246296","2269.39978777472","2332.14118031247","2462.52068461706","2546.24825794207","2562.79807509925","2689.01751968105","2750.57036032076","2822.94891233403","2816.71749403769","2758.01095112987","2660.56384473148","2610.15126878176","2453.72137035784","2304.72089875674","2251.78837371829","2167.68147972127","2067.73530847586","2074.32116355708","2089.92300520362","2123.85199332902","2176.25616323796","2243.85057000858","2234.67388039547","2283.73033614338","2343.95374566432","2407.37945724724","2465.86544340747","2540.88056961133","2620.58793077483","2584.33395125424","2601.78753810231","2599.18609288454","2617.55169296214","2641.98059305905","2704.78597707383","2775.85184701753","2858.62685290259","2937.24442784955","3064.37339337831","3113.44799890402","3187.4028368614","3297.48533268643","3409.50738701403","3582.3624365177","3717.88990863505","3837.62599655458","3939.82482488037","4043.17838092899","4151.72952651891","4182.3567171295","3766.11164459732","3948.86126645271","4042.83619829992","4086.6408272569",
"Brazil","BRA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","5882.85194954139","6199.01427038202","6414.90914279924","6266.34807980005","6294.52434958018","6265.76466455731","6504.51510557159","6599.84548118502","7061.94821568993","7540.24251637444","8119.75089711637","8821.40749424393","9637.77570825255","10722.0744378063","11323.227141439","11630.7500074892","12525.7432380849","12837.7173587599","13161.0360738156","13723.3074061551","14637.6910326177","13693.1397324929","13494.4613021271","12807.8163670552","13205.8938082945","13941.1763854101","14678.4401593166","14895.4750863206","14600.835905821","14782.4135908186","13885.778065285","13788.480935501","13487.8948355554","13925.2483596799","14507.7353456884","14886.1101413074","14983.8377763498","15261.8393653932","15090.2287686204","14947.0457482456","15391.109141832","15400.2897758539","15671.3722645116","15663.3350967965","16377.8622911831","16714.5209609897","17190.5441677199","18046.7759350374","18779.7858334781","18578.2339731209","19790.0580245347","20386.4108953953","20591.8353869314","21027.1995951731","20952.6550601065","20039.4718950829","19226.3857528511","19326.9967736019","19516.1961845011","19603.6834682169","18835.6103321566","19628.6460817256","20128.0641727348","20607.3491531465",
"Barbados","BRB","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","12219.4205467352","13095.246254089","14212.9900130256","13431.367126489","14046.4814035004","15596.0416706044","16165.9996708456","17829.8159505821","19010.9610384546","20381.7462776055","22245.6820841331","23025.1937853942","23212.3642470836","23409.629202092","22211.2098372592","21679.9378153709","22509.624360301","23207.6204207271","24208.9251951125","25982.5834921176","26986.098787341","26358.1536335223","24972.4223719107","25013.1576382527","25835.7658417516","26055.499765423","27336.7651043078","28014.2584301809","28984.1630533077","30027.9410571227","29022.513404515","27833.2472378779","26167.1252670899","26295.5229027376","26750.7794827902","27228.0530531485","28257.9825185602","29548.977296903","30602.1043688031","30643.1464587198","31947.0106590795","31106.689728198","31224.7846728341","31779.5580544226","32107.4095454461","33257.0126578521","35152.2318572617","35748.4063011155","35817.7031562345","33876.9882866858","33014.7576908096","32667.5929085326","32502.3294966998","31998.008054467","31906.9839599557","32611.0484999083","33375.5721355541","33482.7273476201","33173.2988186837","33240.8480262688","29019.4229995048","28624.3634423898","32433.0022901983","33854.5608849333",
"Brunei Darussalam","BRN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","62525.1947328175","60649.093972553","70484.286700916","75659.6652204503","78210.9986604305","92814.8545487521","83578.5755716498","64874.8932245916","65246.3734237153","63395.4968846827","61649.0604708359","58696.6616993593","55190.5249874899","54429.0599549034","53231.0915683538","50980.4775806572","49940.7696008063","49997.7873712295","50950.3770510713","49795.757482096","50091.4182951684","51081.6865431616","51333.5886164418","49444.9458040004","48103.4102551288","48526.8005931905","48881.0799398669","49216.9110310259","50134.6517470925","50631.4273609287","49981.015421918","49318.7414273132","50646.4276517671","49929.1893290526","48219.740852073","46671.9049680895","47190.653776136","48293.1761916385","48119.4391024853","46516.6552506425","44810.6481125917","44128.4578715205","42574.6313328357","42710.9576179011","42339.8591672539","43599.142331434","43726.3292772653","42678.2871884914","41644.0182894508","41901.301588424",
